Data_Hora,Tipo_Transacao,Valor,Saldo_Resultante
01/08/2026 09:00,C,2500.00,2500.00
02/08/2026 11:15,D,850.00,1650.00
03/08/2026 13:30,D,120.50,1529.50
04/08/2026 15:45,D,45.90,1483.60
05/08/2026 18:00,D,230.40,1253.20
06/08/2026 20:15,C,150.00,1403.20
07/08/2026 22:30,D,35.00,1368.20
09/08/2026 00:45,D,15.00,1353.20
10/08/2026 03:00,C,500.00,1853.20
11/08/2026 05:15,D,60.00,1793.20
12/08/2026 07:30,D,112.30,1680.90
13/08/2026 09:45,D,29.90,1651.00
14/08/2026 12:00,C,200.00,1851.00
15/08/2026 14:15,D,89.90,1761.10
16/08/2026 16:30,D,14.50,1746.60
